timestamp,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
2022-08-04 23:24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,5,7,1,0,10,5,2,0,4,5
2022-08-05 00:24:00,0,17,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,9,0,14,13,12,7,7,19,15,0,5,18,19,14,1,7,2,0,2,5,10,10,8,19,17,14,16,10,6,19,11,16,19,18,9,20,5,9,7,19,10,0,19,13,7,0,1,13,9,0,13,12,10,15,5,10,16,7,9,6,18,5,2,0,4,5
2022-08-08 04:58:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,0,18,5,2,0,4,5
2022-08-08 05:58:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,0,18,5,2,0,4,5
2022-08-11 21:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,5,7,1,0,10,5,2,0,4,5
2022-08-11 22:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,5,7,1,0,10,5,2,0,4,5
2022-08-16 07:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,6,18,5,2,0,4,5
2022-08-16 08:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,0,10,5,2,0,4,5
2022-08-18 17:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,5,7,1,0,10,5,2,0,4,5
2022-08-18 18:27:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,5,7,1,0,10,5,2,0,4,5
2022-08-21 11:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,0,10,5,2,0,4,5
2022-08-21 12:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,0,10,5,2,0,4,5
2022-08-24 15:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,5,7,1,0,10,5,2,0,4,5
2022-08-24 16:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,5,7,1,0,10,5,2,0,4,5
2022-08-29 03:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,1,7,2,14,0,0,1,5,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,11,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,6,18,5,2,0,4,5
2022-08-29 04:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,6,18,5,2,0,4,5
2022-08-31 06:37:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,6,10,5,2,0,4,5
2022-08-31 07:34:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,1,7,2,7,0,0,1,0,12,14,0,7,2,0,0,5,10,10,6,1,8,14,0,1,6,19,11,14,14,18,0,0,5,0,7,5,10,0,7,8,7,0,1,5,10,0,8,12,10,10,5,7,16,7,1,6,10,5,2,0,4,5
